,brief_title,conditions,date_processed,enrollment,id,intervention,location_countries,overall_status,sponsors,start_date,study_type,title
3708,Convalescent Plasma in COVID-19 Elderly Patients,COVID,"February 08, 2021",21,NCT04569188,CONVALESCENT PLASMA,ITALY,Completed,Azienda Socio Sanitaria Territoriale di Mantova,"May 15, 2020",Interventional,Real-time Evaluation of Safety and Efficacy of Convalescent Plasma Units Transfused to Elderly Patients With COVID-19
3709,Prevention of COVID-19 Infection to Severe Pneumonia or ARDS,COVID PNEUMONIA,"February 08, 2021",60,NCT04569227,EC-18; PLACEBO,,Not yet recruiting,Enzychem Lifesciences Corporation,"November 16, 2020",Interventional,"Phase 2, Multi-center, Randomized, Double-blind, Placebo-controlled Study to Evaluate the Safety and Efficacy of EC-18 in Preventing the Progression of COVID-19 Infection to Severe Pneumonia or ARDS"
3710,Effectiveness of an Exercise Re-training Program on Dyspnea in Patients After Acute Respiratory Distress Syndrome Secondary to Severe COVID-19 Pneumonia in Post-ICU,DYSPNEA,"February 08, 2021",200,NCT04569266,SPECIFIC EXERCISE REHABILITATION TREATMENT,FRANCE,Recruiting,Groupe Hospitalier Paris Saint Joseph,"August 7, 2020",Interventional,Effectiveness of an Exercise Re-training Program on Dyspnea in Patients After Acute Respiratory Distress Syndrome Secondary to Severe COVID-19 Pneumonia in Post-ICU
3711,COVID-19 Infection in Cancer Pantients,COVID,"February 08, 2021",150,NCT04569292,NO INTERVENTION ON PATIENTS,ITALY,Recruiting,Ospedale Andrea Tortora di Pagani,"January 1, 2020",Observational,Clinical Course of Cancer Patients Who Contracted COVID 19 Infection: An Observational Study
3712,COVID-19 and Venous Thromboembolism Risk,VENOUS THROMBOEMBOLISM; COVID,"February 08, 2021",40000,NCT04569344,LABORATORY TEST POSITIVE FOR SARS-COV-2 VIRUS,UNITED STATES,Enrolling by invitation,"University of California, San Francisco","January 1, 2020",Observational,COVID-19 and Venous Thromboembolism Risk
3713,"Safety, Tolerability and Immunogenicity of the Candidate Vaccine MVA-SARS-2-S Against COVID-19",COVID,"February 08, 2021",30,NCT04569383,MVA-SARS-2-S VACCINATIONS (DAYS 0 & 28),GERMANY,Recruiting,Universitätsklinikum Hamburg-Eppendorf,"October 5, 2020",Interventional,"An Open, Single-center Phase I Trial to Assess the Safety, Tolerability and Immunogenicity of Two Ascending Doses of the Candidate Vaccine MVA-SARS-2-S"
3714,Dose Ranging Trial to Assess Safety and Immunogenicity of V590 (COVID-19 Vaccine) in Healthy Adults (V590-001),CORONAVIRUS DISEASE (COVID),"February 08, 2021",252,NCT04569786,V590; PLACEBO,UNITED STATES,"Active, not recruiting",Merck Sharp & Dohme Corp.,"October 29, 2020",Interventional,"A Phase 1, Randomized, Double-Blind, Placebo-Controlled, Dose-Ranging Trial to Evaluate the Safety and Immunogenicity of V590 in Healthy Adults"
3715,Effect of Nasal Steroid in the Treatment of Anosmia Due to COVID-19 Disease,CLINICAL TRIAL,"February 08, 2021",250,NCT04569825,OPHTAMESONE,IRAQ,Recruiting,University Of Anbar,"August 1, 2020",Interventional,Effect of Nasal Steroid in the Treatment of Anosmia Due to COVID-19 Disease
3716,Clinical Characteristics and Prognostic Factors of Patients With COVID-19 (Coronavirus Disease 2019),COVID INFECTION,"February 08, 2021",100000,NCT04569851,,SPAIN,Enrolling by invitation,Medsavana,"January 1, 2020",Observational,Clinical Characteristics and Prognostic Factors of Patients With COVID-19 Using Big Data and Artificial Intelligence Techniques (BigCoviData)
3717,GM-CSF Inhalation to Prevent ARDS in COVID-19 Pneumonia,SEVERE ACUTE RESPIRATORY SYNDROME (SARS) PNEUMONIA; COVID PNEUMONIA,"February 08, 2021",238,NCT04569877,MOLGRAMOSTIM NEBULISER SOLUTION; PLACEBO NEBULISER SOLUTION,GERMANY,Recruiting,University of Giessen,"September 24, 2020",Interventional,Granulocyte Macrophage Colony Stimulating Factor (GM-CSF) Inhalation to Prevent ARDS in COVID-19 Pneumonia (GI-COVID)
3718,"Evaluating Auscul-X, a Touch Free Digital Stethoscope",COVID,"February 08, 2021",40,NCT04570189,AUSCUL-X,CANADA,Recruiting,AusculSciences Canada Inc.,"October 1, 2020",Observational,"Evaluating Auscul-X, a Touch Free Digital Stethoscope, for Physical Distancing to Protect Patients and Health Care Professionals From COVID-19 (The Auscul-X Study)"
3719,Health cAre woRkers exposeD to COVID-19,"DEPRESSION; BURNOUT, PROFESSIONAL; POST TRAUMATIC STRESS DISORDER","February 08, 2021",900,NCT04570202,EMDR,FRANCE,Recruiting,"University Hospital, Tours","November 20, 2020",Interventional,"Symptoms of Depression, Stress and Burnout, and Long-term Psychological Impact in Health Care Professionals Exposed to the Novel Coronavirus Disease 2019 Outbreak (HARD-COVID-19 - Health cAre woRkers exposeD to covID-19)"
3720,Antioxidants as Adjuvant Therapy to Standard Therapy in Patients With COVID-19,"PNEUMONIA, VIRAL; COVID; ARDS; OXIDATIVE STRESS","February 08, 2021",11,NCT04570254,VITAMIN C; VITAMIN E; MELATONIN; N-ACETYL CYSTEINE; PENTOXIFYLLINE,MEXICO,"Active, not recruiting",Unidad Temporal COVID-19 en Centro Citibanamex,"August 19, 2020",Interventional,Open Clinical Trial of the Use of Antioxidants and Pentoxifylline as Adjuvant Therapy to Standard Therapy in Patients With and Without Septic Shock Secondary to COVID-19 Severe Pneumonia
3721,Intravenous L-Citrulline to Delay and Potentially Prevent the Need for Invasive Mechanical Ventilation for Acute Hypoxemic Respiratory Failure in Patients With COVID-19 (SARS-CoV-2) Illness,ACUTE HYPOXEMIC RESPIRATORY FAILURE,"February 08, 2021",60,NCT04570384,L-CITRULLINE; PLACEBO,UNITED STATES,Recruiting,"Asklepion Pharmaceuticals, LLC","October 15, 2020",Interventional,"Prospective, Randomized, Double-Blind, Placebo-Controlled Phase II Trial of Intravenous L-Citrulline (Turnobi) to Delay and Potentially Prevent the Need for Invasive Mechanical Ventilation for Acute Hypoxemic Respiratory Failure in Patients With COVID-19 (SARS-CoV-2) Illness"
3722,Ravulizumab and COVID-19,COVID; THROMBOTIC MICROANGIOPATHIES; ACUTE KIDNEY INJURY,"February 08, 2021",32,NCT04570397,RAVULIZUMAB,UNITED STATES,Recruiting,Brigham and Women's Hospital,"December 18, 2020",Interventional,C5 Complement Inhbition Using Ravulizumab for the Treatment of COVID-19 Induced Thrombotic Microangiopathy
3723,Fluoxetine to Reduce Hospitalization From COVID-19 Infection (FloR COVID-19),COVID,"February 08, 2021",0,NCT04570449,FLUOXETINE; PLACEBO,UNITED STATES,Withdrawn,Milton S. Hershey Medical Center,November 2020,Interventional,Fluoxetine to Reduce Hospitalization From COVID-19 Infection (FloR COVID-19)
3724,Mild Hypothermia for COVID-19 ARDS,COVID ARDS,"February 08, 2021",20,NCT04570462,HYPOTHERMIA VIA COOLING MACHINE- ARCTIC SUN 5000,UNITED STATES,Recruiting,Northwell Health,"May 18, 2020",Interventional,Application of Mild Hypothermia for COVID-19 Acute Respiratory Distress
3725,Predicting Favorable Outcomes in Hospitalized Covid-19 Patients,COVID; CORONAVIRUS INFECTION; ADVERSE EVENT,"February 08, 2021",1200,NCT04570488,EPIC RISK SCORE DISPLAY,UNITED STATES,Recruiting,NYU Langone Health,"May 15, 2020",Interventional,Predicting Favorable Outcomes in Hospitalized Covid-19 Patients
3726,Angiotensin (1-7) for the Treatment of COVID-19 in Hospitalized Patients,COVID,"February 08, 2021",160,NCT04570501,ANGIOTENSIN-(1-7); PLACEBO,UNITED STATES,Not yet recruiting,Stanford University,February 2021,Interventional,"A Multi-Center, Randomized, Double-Blind, Placebo Controlled Study of the Safety and Efficacy of Angiotensin (1-7) for the Treatment of COVID-19 in Hospitalized Patients"
3727,Online Education Intervention to Reduce Ageism Among Undergraduate Students,AGEISM,"February 08, 2021",121,NCT04570917,ONLINE EDUCATIONAL INTERVENTION TO REDUCE AGEISM; ONLINE EDUCATIONAL INTERVENTION TO ENHANCE CULTURAL COMPETANCE,,Not yet recruiting,"University of Mississippi, Oxford","September 28, 2020",Interventional,Effectiveness of an Online Educational Intervention to Reduce Ageism in Undergraduate Students in an Entry-level Nutrition Class
3728,Clinical Protocol for Convalescent Plasma and Remdesivir Therapy in Nepal,COVID,"February 08, 2021",200,NCT04570982,CONVALESCENT PLASMA,NEPAL,Recruiting,"Dr. Pradip Gyanwali,MD","July 30, 2020",Observational,Compassionate Use of Remdesivir and Convalescent Plasma Therapy for Treatment of COVID-19 Infection in Nepal : A Prospective Observational Study (Amended Protocol)
3729,Remote Yoga Nidra for Anxiety and Sleep,INSOMNIA DUE TO ANXIETY AND FEAR,"February 08, 2021",74,NCT04571593,YOGA NIDRA,UNITED STATES,Completed,National University of Natural Medicine,"April 15, 2020",Interventional,Digital Delivery of Yoga Nidra for Anxiety and Sleep: A Feasibility Study
3730,New Educational Tool for FM,FIBROMYALGIA,"February 08, 2021",300,NCT04571853,PNE-EXPLAINED GROUP; PNE-READ GROUP; TAU GROUP,SPAIN,Recruiting,Hospital Universitari Vall d'Hebron Research Institute,"September 21, 2020",Interventional,Usefulness of a New Educational Tool for Understanding Pain for Fibromyalgia Patients
3731,Cardiorespiratory Exercise & Chinese Medicine for Rehabilitation of Discharged Coronavirus Disease (COVID-19) Patients,CORONAVIRUS DISEASE (COVID),"February 08, 2021",172,NCT04572360,CARDIORESPIRATORY EXERCISE; MODIFIED BAI HE GU JIN TANG,HONG KONG,Not yet recruiting,Hong Kong Baptist University,"October 1, 2020",Interventional,Would Cardiorespiratory Exercise and Chinese Herbal Medicine Facilitate Rehabilitation From Pulmonary Fibrosis Among Post-discharge Patients With COVID-19? Clinical Efficacy and Mechanisms
3732,UVA Light Device to Treat COVID-19,CORONAVIRUS,"February 08, 2021",5,NCT04572399,UV LIGHT TREATMENT,UNITED STATES,Completed,Cedars-Sinai Medical Center,"October 30, 2020",Interventional,Respiratory Application of a Novel Ultraviolet Light Delivery Device for Patients Infected With COVID-19: A Pilot Study
3733,Low Dose Lung Radiotherapy to Treat COVID-19 Pneumonia,COVID,"February 08, 2021",13,NCT04572412,LOW DOSE RADIOTHERAPY,UNITED KINGDOM,Recruiting,Lancashire Teaching Hospitals NHS Foundation Trust,"November 25, 2020",Interventional,Low Dose Lung Radiotherapy to Treat COVID-19 Pneumonia (a Phase I Feasibility Trial)
3734,A Cohort Study of Mechanically Ventilated COVID-19 Patients Undergoing Tracheostomy,TRACHEOSTOMY COMPLICATION; COVID; VENTILATOR LUNG,"February 08, 2021",2500,NCT04572438,TRACHEOSTOMY,UNITED KINGDOM,Recruiting,"University College, London","August 1, 2020",Observational,COVIDTrach; a UK National Cohort Study of Mechanically Ventilated COVID-19 Patients Undergoing Tracheostomy
3735,Natural History of Post-Coronavirus Disease 19 Convalescence at the National Institutes of Health,POST-CORONAVIRUS DISEASE 19,"February 08, 2021",1200,NCT04573062,,UNITED STATES,Recruiting,National Institute of Neurological Disorders and Stroke (NINDS),"February 11, 2021",Observational,Natural History of Post-Coronavirus Disease 19 Convalescence at the National Institutes of Health
3736,Metabolic Cofactor Supplementation and Hydroxychloroquine Combination in Covid-19 Patients,COVID,"February 08, 2021",400,NCT04573153,HYDROXYCHLOROQUINE + METABOLIC COFACTOR SUPPLEMENTATION; HYDROXYCHLOROQUINE + SORBITOL,TURKEY,Recruiting,ScandiBio Therapeutics AB,"September 21, 2020",Interventional,"A Multi Centre, Randomised, Controlled, Open-Label Phase 2/3 Study to Evaluate The Efficacy, Tolerability and Safety of Metabolic Cofactor Supplementation and Hydroxychloroquine Combination in Covid-19 Patients"
3737,Mesenchymal Stem Cells for the Treatment of COVID-19,COVID; PROPHYLAXIS,"February 08, 2021",40,NCT04573270,PRIMEPRO; PLACEBO,UNITED STATES,Completed,Thomas Advanced Medical LLC,"April 24, 2020",Interventional,A Pilot Phase Study Evaluating the Effects of a Single Mesenchymal Stem Cell Injection in Patients With Suspected or Confirmed COVID-19 Infection and Healthcare Providers Exposed to Coronavirus Patients
3738,Safety and Efficacy of Trans Sodium Crocetinate (TSC) in SARS-CoV-2 (COVID-19) Infected Subjects,SARS-CoV2 (COVID),"February 08, 2021",224,NCT04573322,TRANS SODIUM CROCETINATE; NORMAL SALINE,ROMANIA,Recruiting,Diffusion Pharmaceuticals Inc,"September 10, 2020",Interventional,"Open-label, Pharmacokinetic, Pharmacodynamic, Ascending Dose Safety lead-in Followed by a Single-center, Placebo-controlled, Double-blind, Adaptive, Safety and Efficacy, Pilot Study of Trans Sodium Crocetinate (TSC) in SARS-CoV-2 Infected Subjects"
3739,Diabetes Outcomes in COVID-19 Pandemic,"DIABETES; COVID; ISOLATION, SOCIAL","February 08, 2021",1282,NCT04573335,,PAKISTAN,Completed,"Services Institute of Medical Sciences, Pakistan","June 1, 2020",Observational,Health-related Outcomes and Behaviour Changes in a Cohort of Diabetic Population During COVID-19 Pandemic: Results of a Telephonic Survey
3740,T Cells Response to SARS COV 2 Peptides,COVID; CORONAVIRUS INFECTION,"February 08, 2021",400,NCT04573348,SAVICELL'S IMMUNOBIOPSY™,ISRAEL,Recruiting,Savicell Diagnostics Ltd,"October 14, 2020",Observational,"Prospective, One Center, Four Groups, Open, Comparative, Controlled Study to Explore T Cells Response to SARS COV 2 Peptides by Metabolic Activity Method in Convalesce and Healthy Individuals Versus Antibody Response"
3741,Access to Chiropractic Care During the COVID-19 Healthcare Emergency in Spain,MUSCULOSKELETAL PAIN; DISABILITY PHYSICAL; PSYCHOLOGICAL DISTRESS,"February 08, 2021",723,NCT04573361,CHIROPRACTIC CARE (ONE VISIT); CHIROPRACTIC CARE (MORE THAN ONE VISIT),SPAIN,Completed,Real Centro Universitario Maria Cristina,"May 2, 2020",Interventional,Access to Chiropractic Care During the State of Emergency Generated by the COVID-19 Pandemic in Spain: a Pragmatic Controlled Trial
3742,A Registry Study of COVID-19 Serologic and Virologic Testing to Accelerate Recovery and Transition,COVID; SARS-COV INFECTION,"February 08, 2021",960,NCT04573634,,UNITED STATES,Recruiting,Jill M Kolesar,"May 15, 2020",Observational,A Registry Study of COVID-19 Serologic and Virologic Testing to Accelerate Recovery and Transition (START) - Assessment of COVID19 Penetrance in HCW and Non HCW in Kentucky
3743,Acute Effects of Oral Ketone Ester on Cardiac Function in Patients With COVID-19,COVID,"February 08, 2021",12,NCT04573764,"D-BETA-HYDROXYBUTYRATE-(R)-1,3 BUTANEDIOL MONOESTER; PLACEBO",,Not yet recruiting,Steno Diabetes Center Copenhagen,"October 1, 2020",Interventional,Acute Effects of Oral Ketone Ester on Cardiac Function in Patients With COVID-19
3744,TREATMENT WITH ANTI-SARS-COV-2 IMMUNOGLOBULIN IN PATIENTS WITH COVID-19,COVID,"February 08, 2021",41,NCT04573855,ANTI-SARS-COV-2 IMMUNOGLOBULIN,,Not yet recruiting,D'Or Institute for Research and Education,"December 1, 2020",Interventional,TREATMENT WITH ANTI-SARS-COV-2 IMMUNOGLOBULIN IN PATIENTS WITH COVID-19: A PHASE I / II STUDY
3745,"National Study ""AEC COVID-19""",MORTALITY,"February 08, 2021",1000,NCT04573868,,SPAIN,Recruiting,Hospitales Universitarios Virgen del Rocío,"March 1, 2020",Observational [Patient Registry],"National Study ""AEC COVID-19"" on Patients Undergoing Surgical Intervention During the SARS-CoV-2 Pandemic."
3746,SELF-BREATHE RCT for Chronic Breathlessness,CANCER; COPD; ASTHMA; BRONCHIECTASIS ADULT; INTERSTITIAL LUNG DISEASE; CYSTIC FIBROSIS; CHRONIC HEART FAILURE; SICKLE CELL DISEASE; RENAL FAILURE; LIVER FAILURE; POST COVID; DYSPNEA,"February 08, 2021",40,NCT04574050,SELF-BREATHE,,Not yet recruiting,King's College Hospital NHS Trust,"December 3, 2020",Interventional,"A Self - Guided, Internet - Based Intervention for Patients With Chronic Breathlessness (SELF-BREATHE): Feasibility Randomised Controlled Trial"
3747,Virtual Parental Presence on Induction,ANXIETY; SURGERY,"February 08, 2021",184,NCT04574219,USE OF FACETIME WITH CHILD AND PARENTS DURING INDUCTION,CANADA,Recruiting,"Children's Hospital Medical Center, Cincinnati","November 3, 2020",Interventional,Feasibility and Acceptability of Virtual Parental Presence on Induction of Anesthesia - Modernizing Solutions for Pediatric Anesthesia in Response to COVID-19
3748,Scaling-up Psychological Interventions With Syrian Refugees in Switzerland (STRENGTHS_CH): RCT,DISTRESS; PTSD; ANXIETY; DEPRESSION; TRAUMA; FUNCTIONAL DISABILITIES; COMMON MENTAL HEALTH PROBLEMS,"February 08, 2021",380,NCT04574466,PROBLEM MANAGEMENT PLUS,SWITZERLAND,Recruiting,University of Zurich,"August 25, 2020",Interventional,Scaling-up Psychological Interventions With Syrian Refugees in Switzerland: RCT
3749,A Research Platform to Screen Healthcare Workers,HEALTHCARE WORKER; COVID,"February 08, 2021",100000,NCT04574765,NASOPHARYNGEAL SWAB; QUESTIONNAIRE COLLECTION; OPTIONAL BLOOD COMPLETION; OPTIONAL QUESTIONNAIRE COMPLETION,CANADA,Recruiting,"University Health Network, Toronto","April 16, 2020",Observational,"A Research Platform to Screen and Protect Individuals That Work Within a Food Production, Healthcare, Research or Clinical Organization - RESPECT"
3750,A Study of RLS-0071 in Patients With Acute Lung Injury Due to COVID-19 Pneumonia in Early Respiratory Failure,ACUTE LUNG INJURY; ALI; COVID,"February 08, 2021",42,NCT04574869,RLS-0071; RLS-0071; PLACEBO; RLS-0071; RLS-0071; PLACEBO,UNITED STATES,Not yet recruiting,"ReAlta Life Sciences, Inc.",October 2020,Interventional,"A Randomized, Double-Blind, Placebo-Controlled, Two-Part Study to Evaluate the Safety, Tolerability, Preliminary Efficacy, PK, & PD of RLS-0071 in Patients With Acute Lung Injury Due to COVID-19 Pneumonia in Early Respiratory Failure"
3751,CRISIS2: A Phase 2 Study of the Safety and Antiviral Activity of Brequinar in Non-hospitalized Pts With COVID-19,COVID INFECTION,"February 08, 2021",100,NCT04575038,BREQUINAR; PLACEBO,UNITED STATES,Recruiting,"Clear Creek Bio, Inc.","November 19, 2020",Interventional,"The CRISIS2 Study: A Phase 2, Randomized, Double Blind, Placebo-controlled, Multi-center Study Assessing the Safety and Anti-coronavirus Response of Suppression of Host Nucleotide Synthesis in Out-patient Adults With SARS-CoV-2"
