,condition,date_processed,enrollment,id,intervention,location_countries,overall_status,sponsors,start_date,study_type,title,study_topic
4735,SARS-COV INFECTION,"February 08, 2021",2000,NCT04705766,URINE COLLECTION,UNITED STATES,Not yet recruiting,"University of California, San Francisco",January 2021,Observational [Patient Registry],The KIDCOV Study: ASSESSMENT of SARS-CoV-2 Without HOSPITALIZATION as a RISK FACTOR for ACUTE KIDNEY INJURY,Respiratory
4736,POST-VIRAL FATIGUE SYNDROME,"February 08, 2021",40,NCT04705831,RUCONEST,UNITED STATES,Recruiting,IMMUNOe Research Centers,"December 30, 2020",Interventional,"A Randomized, Double Blind, Placebo Controlled, Cross-Over, Proof-of-Concept Study to Evaluate the Benefit of RUCONEST (C1 Esterase Inhibitor [Recombinant]) in Improving Neurological Symptoms in Post-SARS-CoV-2 Infection",Unrelated
4737,MILD TO MODERATE COVID,"February 08, 2021",1444,NCT04705844,ADALIMUMAB,,Not yet recruiting,Ology Bioservices,February 2021,Interventional,"Multi-Center, Randomized, Double-Blind, Placebo-Controlled Study of Adalimumab (Humira) or Placebo in Patients With Mild-Moderate COVID-19",COVID
4738,COVID,"February 08, 2021",3000,NCT04706039,PERFORMANCE EVALUATION (SENSITIVITY AND SPECIFICITY) FOR COVID-19 DIAGNOSIS OF THE VOCUS PTR-TOF PROCESS,FRANCE,Not yet recruiting,Hospices Civils de Lyon,January 2021,Interventional,Rapid Diagnosis of COVID-19 by Chemical Analysis of Exhaled Air,COVID
4739,COVID VACCINES,"February 08, 2021",100,NCT04706143,COVID-19 VACCINES,,Not yet recruiting,Assiut University,"January 15, 2021",Observational,"T Cell, Antibody and Cytokine Responses to Single and Double Doses of COVID-19 Vaccines in Egyptians",COVID
4740,ORAL MANIFESTATIONS,"February 08, 2021",1540,NCT04706156,COVID-19 VACCINE,,Not yet recruiting,Masaryk University,"January 27, 2021",Observational,Oral Side Effects of COVID-19 Vaccine: A Multicenter Cross-sectional Study,Unrelated
4741,COVID,"February 08, 2021",600,NCT04706260,,FRANCE,Recruiting,"University Hospital, Strasbourg, France","April 14, 2020",Observational,Clinical Evolution and Becoming of Adult Patients Infected With Covid-19 Hospitalized at the University Hospitals of Strasbourg : A Retrospective Observational Study,COVID
4742,PREVENTION OF COVID,"February 08, 2021",20,NCT04706299,RESISTANCE EXERCISE,UNITED STATES,Recruiting,The Cleveland Clinic,"January 12, 2021",Interventional,"Effects of Surgical Mask Use on Peak Torque, Total Work and Interset Fatigability During Isokinetic Strength Testing",COVID
4743,ACUTE KIDNEY INJURY,"February 08, 2021",100,NCT04706325,ACUTE KIDNEY INJURY,TURKEY,Recruiting,Kocaeli Derince Education and Research Hospital,"January 1, 2021",Observational,INVESTIGATION OF RISK FACTORS RELATED TO COVID-19 RELATED KIDNEY DAMAGE: A PROSPECTIVE OBSERVATIONAL STUDY,Unrelated
4744,COVID,"February 08, 2021",2500,NCT04706390,COVID-19 VACCINE,NORWAY,Recruiting,University of Bergen,"January 12, 2021",Observational,Comparison of the Immune Response to Natural COVID-19 Infection and Vaccination,COVID
4745,COVID,"February 08, 2021",3000,NCT04706403,HEALTHCARE PROVIDERS' COMMUNICATION ABOUT THE COVID-19 VACCINE,,Not yet recruiting,"University of Massachusetts, Worcester",January 2021,Interventional,"If We Build It, Will They Come? A Pilot Study to Develop and Test Messages to Maximize Uptake of Coronavirus Vaccine When Available",COVID
4746,CORONAVIRUS,"February 08, 2021",50,NCT04706416,N-ACETYL GLUCOSAMINE (NAG),UNITED STATES,"Active, not recruiting",Quantinosis.ai LLC,"November 14, 2020",Interventional,N-Acetyl Glucosamine as Therapeutic Intervention for Coronavirus Disease-19 (COVID-19),COVID
4747,COVID,"February 08, 2021",2000,NCT04706533,BIOMARKERS OF INFLAMMATION,UNITED STATES,Recruiting,University of Michigan,"March 23, 2020",Observational,"Prospective Observational Study Examining Clinical Characteristics, Inflammatory Markers, Treatments and Outcomes of Patients Hospitalized for COVID-19 at the University of Michigan Healthcare System in Ann Arbor",COVID
4748,APPENDICITIS ACUTE,"February 08, 2021",200,NCT04707339,APPENDICECTOMY,UNITED KINGDOM,Recruiting,Princess Alexandra Hospital NHS Trust,"January 30, 2020",Observational,Management of Acute Appendicitis at District General Hospital,Unrelated
4749,COVID,"February 08, 2021",300,NCT04707534,DEXAMETHASONE,UNITED STATES,Recruiting,University of Oklahoma,"January 21, 2021",Interventional,Effects of Higher Dose and Lower Dose of Dexamethasone for Hospitalized Patients With COVID-19,COVID
4750,COVID,"February 08, 2021",400,NCT04707664,SARGRAMOSTIM,,Not yet recruiting,"Partner Therapeutics, Inc.",February 2021,Interventional,A Randomized Phase 2b Trial Evaluating Clinical Outcomes of Inhaled Sargramostim in High-risk Patients With Mild-moderate COVID-19,COVID
4751,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2,"February 08, 2021",162,NCT04707703,ISAVUCONAZONIUM INJECTION [CRESEMBA],UNITED STATES,Not yet recruiting,"Jeffrey Jenks, MD, MPH",January 2021,Interventional,Isavuconazole for the Prevention of SARS-CoV-2-associated Invasive Aspergillosis in Critically-Ill Patients,COVID
4752,COVID,"February 08, 2021",84,NCT04707742,BETADINE© BUCAL 100 MG/ML,SPAIN,Completed,Fundación para el Fomento de la Investigación Sanitaria y Biomédica de la Comunitat Valenciana,"June 15, 2020",Interventional,Clinical Evaluation of Antiseptic Mouth Rinses to Reduce Salivary Viral Load of SARS-CoV-2 in COVID-19 Patients,COVID
4753,CORONAVIRUS INFECTION,"February 08, 2021",80,NCT04707820,ELISPOT,FRANCE,Recruiting,"University Hospital, Rouen","April 16, 2020",Interventional,Antiviral T Lymphocyte Immunity During Acute COVID-19 Infection,COVID
4754,CORONAVIRUS INFECTION,"February 08, 2021",385,NCT04707833,SEROLOGICAL TESTING FOR COVID-19 INFECTION,FRANCE,Recruiting,"University Hospital, Rouen","November 26, 2020",Interventional,Protocol for the Collection of Clinical Samples for Evaluation and Implementation of Serological Techniques for Screening for COVID-19 Infection at the University Hospital of Rouen,COVID
4755,COVID,"February 08, 2021",385,NCT04708158,NOVAFERON,,Not yet recruiting,Genova Inc.,January 2021,Interventional,"A Randomized, Double-Blind, Placebo-Controlled Study to Evaluate the Safety and Efficacy of Aerosolized Novaferon vs. Placebo in Hospitalized Adult Patients With ModerateCOVID-19",COVID
4756,COVID,"February 08, 2021",18,NCT04708236,ORTD-1 LOW DOSE,UNITED STATES,Recruiting,"Oryn Therapeutics, LLC",January 2021,Interventional,"A Blinded, Controlled, Escalating Dose Study of ORTD-1 for Treatment of Hospitalized Patients With SARS-CoV-2 (COVID-19) Related Pneumonia.",COVID
4757,COVID,"February 08, 2021",75,NCT04708327,NALTREXONE HYDROCHLORIDE,,Not yet recruiting,"Cytocom, Inc.",April 2021,Interventional,"A Randomized, Placebo-controlled, Phase 2 Study to Evaluate Safety and Efficacy of CYTO-205 (Low-dose Naltrexone) in Adult Patients With Mild COVID-19 Infection Who Are at High Risk for Disease Progression",COVID
4758,COVID,"February 08, 2021",237,NCT04708340,REJUVEINIX (RJX) ACTIVE COMPARATOR,,Not yet recruiting,"Reven Pharmaceuticals, Inc.","February 1, 2021",Interventional,"A Two-part, Two-cohort, Double-blind, Randomized, Placebo-controlled, Multicenter Phase 1/2 Study to Evaluate the Safety, Tolerability and Efficacy of REJUVEINIX (RJX) in Patients With COVID-19",COVID
4759,MECHANICAL VENTILATION COMPLICATION,"February 08, 2021",12,NCT04708457,VV-ECMO,AUSTRALIA,Not yet recruiting,Australian and New Zealand Intensive Care Research Centre,"February 1, 2021",Interventional,"A Pilot Feasibility RCT of Early ECMO to DE-sedate, Extubate, and Mobilise in Severe Acute Respiratory Infection",Unrelated
4760,AIRWAY EXTUBATION,"February 08, 2021",72,NCT04708509,EXTUBATION ADVISOR,CANADA,Not yet recruiting,Ottawa Hospital Research Institute,March 2021,Interventional,Extubation Advisor: Initial Implementation and Evaluation of a Novel Extubation Clinical Decision Support Tool,Unrelated
4761,COVID,"February 08, 2021",100,NCT04708912,OBSERVATION,TURKEY,Recruiting,Basaksehir Cam & Sakura Şehir Hospital,"December 15, 2020",Observational,TUSEB-Nasopharynx Microbiota Component and in Vitro Cytokines Production in Coronavirus Disease (COVID-19),COVID
4762,COVID,"February 08, 2021",4504,NCT04709003,SEROLOGIC TEST,ISRAEL,Recruiting,Clalit Health Services,"December 23, 2020",Observational,Covid-19 Vaccine Effectiveness in Healthcare Personnel in Clalit Health Services in Israel (CoVEHPI): A Prospective Cohort Study,COVID
4763,COVID,"February 08, 2021",2050,NCT04709068,CURRENT HEALTH,,Not yet recruiting,Current Health,"January 20, 2021",Observational,Risk Stratification and Early Alerting Regarding COVID-19 Hospitalization,COVID
4764,COVID,"February 08, 2021",2500,NCT04709120,,RUSSIAN FEDERATION,Recruiting,Eurasian Association of Therapists,"January 11, 2021",Observational [Patient Registry],Analysis of Health Status of Сomorbid Adult COVID-19 Patients Hospitalised in Second Wave of SARS-CoV-2 Infection,COVID
4765,COVID,"February 08, 2021",70,NCT04709146,AUDIO-VESTIBULAR EVALUATION,,Not yet recruiting,"HaEmek Medical Center, Israel","March 1, 2021",Interventional,The Influence of Covid-19 on the Audio-vestibular System,COVID
4766,COVID PNEUMONIA,"February 08, 2021",30,NCT04709172,CEFDITOREN PIVOXIL 400MG,SPAIN,Recruiting,Meiji Pharma Spain S.A.,"January 5, 2021",Interventional,"Prospective, Non-controlled Pilot Study to Evaluate the Efficacy and Safety of Cefditoren Pivoxil in COVID-19 Patients With Mild to Moderate Pneumonia",COVID
4767,HEART FAILURE,"February 08, 2021",20000,NCT04709263,,RUSSIAN FEDERATION,Recruiting,AstraZeneca,"December 23, 2020",Observational,Heart Failure Patients Registry A Prospective Observational Multicenter Registry of Patients With Chronic Heart Failure in the Population of the Russian Federation (PRIORITY-HF),Unrelated
4768,COVID,"February 08, 2021",342,NCT04709302,COVID-19,NIGERIA,Recruiting,Medical University of Graz,February 2021,Observational [Patient Registry],"COVID-19 and Its Effects on Endothelium in HIV-Positive Patients in Sub-Saharan Africa: Cardiometabolic Risk, Thrombosis and Vascular Function",COVID
4769,COVID,"February 08, 2021",690,NCT04709328,SCTA01,,Not yet recruiting,Sinocelltech Ltd.,"March 1, 2021",Interventional,"An Adaptive, Randomized, Double-blinded, Placebo-controlled Phase II/III Trial of Monoclonal Antibody SCTA01 Against SARS-CoV-2 in High-Risk Outpatients With COVID-19 (MAOP3 Trial)",COVID
4770,COVID,"February 08, 2021",38,NCT04709744,VITAMIN D,EGYPT,Completed,Mansoura University,"April 1, 2020",Observational,Impact of Vitamin D Level and Supplement on SLE Patients During COVID-19 Pandemic,COVID
4771,COVID,"February 08, 2021",220,NCT04709835,AT-527,BULGARIA,Not yet recruiting,Hoffmann-La Roche,"January 15, 2021",Interventional,"A Phase II Randomized, Double-Blind, Placebo-Controlled Study to Evaluate the Antiviral Activity, Safety, Pharmacokinetics, and Efficacy of RO7496998 (AT-527) in Otherwise Healthy Non-Hospitalized Adult Patients With Mild or Moderate COVID-19",COVID
4772,VIRUS DISEASES,"February 08, 2021",40,NCT04710199,MARAVIROC EXPERIMENTAL GROUP,SPAIN,Not yet recruiting,Fundación Pública Andaluza para la gestión de la Investigación en Sevilla,February 2021,Interventional,Proof-of-concept Trial to Evaluate the Safety and Efficacy of Maraviroc in Severe Acute Respiratory Syndrome (SARS) Coronavirus-2 (CoV-2) Infected Patients Hospitalized for COVID-19,Unrelated
4773,COVID,"February 08, 2021",35,NCT04710303,HAD5-S-FUSION+N-ETSD VACCINE,,Not yet recruiting,"ImmunityBio, Inc.",February 2021,Interventional,"Phase 1b Open-Label Study of the Safety, Reactogenicity, and Immunogenicity of a City of a Prophylactiv COVID-19 Vaccination Using a 2nd Generation (E1/E2b/E3-Deleted) Adenoviral Platform in Healthy South African Adults (ProVIVA-SA-1)",COVID
4774,COVID,"February 08, 2021",450,NCT04710316,SARS-COV-2 SCREENING BY MOLECULAR BIOLOGY,MALI,Not yet recruiting,"Institut National de la Santé Et de la Recherche Médicale, France","January 30, 2021",Interventional,"Étude de l'épidémie de SARS-CoV-2 Dans Les Services Hospitaliers de Bamako, Mali",COVID
4775,"RESPIRATORY DISTRESS SYNDROME, ADULT","February 08, 2021",78,NCT04710329,ASCORBIC ACID,TURKEY,"Active, not recruiting",Sisli Hamidiye Etfal Training and Research Hospital,"January 16, 2021",Observational,"High-Dose Vitamin C Treatment in Critically Ill COVID-19 Patients, A Retrospective Cohort Study",Respiratory
4776,COVID,"February 08, 2021",100,NCT04710381,IMUNOR,CZECHIA,Not yet recruiting,University Hospital Ostrava,"February 1, 2021",Interventional,"Pilot, Monocentre, Phase-IV Clnical Trial Assessing the Clinical Effect of Per Oral Immunomodulation Treatment Using the IMUNOR® Preparation in the Prevention of COVID-19 Disease",COVID
4777,ANOSMIA,"February 08, 2021",240,NCT04710394,SMELL TRAINING,UNITED STATES,Recruiting,Washington University School of Medicine,"January 11, 2021",Interventional,Efficacy of Bimodal Visual-Olfactory Training in Participants With COVID-19 Resultant Hyposmia or Anosmia Using Participant-Preferred Scents,Unrelated
4778,COVID,"February 08, 2021",30,NCT04710771,PRONE LYING POSITION,PAKISTAN,Recruiting,Sialkott College of Physical Therapy,"November 23, 2020",Observational,Effect of Prone Positioning and Alternate Nostril Breathing Technique in Patients With COVID-19: A Prospective Cohort Study.,COVID
4779,COVID,"February 08, 2021",500,NCT04710836,,UNITED KINGDOM,Recruiting,Nottingham University Hospitals NHS Trust,"December 3, 2020",Observational,The Nottingham Recovery From COVID-19 Research Platform Assessment Clinic,COVID
4780,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2,"February 08, 2021",400,NCT04711863,FLUVOXAMINE,"KOREA, REPUBLIC OF",Recruiting,Asan Medical Center,"January 16, 2021",Interventional,"Fluvoxamine for Adults With Mild to Moderate COVID-19: A Single-blind, Randomized, Placebo-controlled Trial",COVID
4781,HIV,"February 08, 2021",2000,NCT04711954,,NETHERLANDS,Recruiting,Erasmus Medical Center,"November 1, 2020",Observational [Patient Registry],COVID-19 in People Living With HIV in Light of the 90-90-90 Goals: A Netherlands/Ukraine Research Collaboration.,Unrelated
4782,COVID,"February 08, 2021",67,NCT04712045,NEW PPE,UNITED KINGDOM,Completed,University of Oxford,"August 1, 2020",Interventional,Rational Use of Personal Protective Equipment: a Randomised Trial and Quality Improvement Intervention During COVID-19 Pandemic,COVID
4783,PREVENTION OF INFECTION DISEASE CAUSED BY SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS-2 (SARS-CoV2),"February 08, 2021",200,NCT04712110,TAK-019,JAPAN,Not yet recruiting,Takeda,"February 20, 2021",Interventional,"A Phase 1/2, Randomized, Observer-Blind, Placebo-Controlled Trial to Evaluate the Safety and Immunogenicity of TAK-019 by Intramuscular Injection in Healthy Japanese Male and Female Adults Aged 20 Years and Older (COVID-19)",COVID
4784,COVID,"February 08, 2021",250,NCT04712175,NASOPHARYNGEAL SAMPLING,FRANCE,Not yet recruiting,Centre Hospitalier Universitaire de Nīmes,January 2021,Observational,Validation Diagnostique de la détection Rapide du Virus SARS-CoV-2 Dans Des échantillons Salivaires Par spectrométrie de Masse,COVID
4785,COVID,"February 08, 2021",294,NCT04712279,IVERMECTIN 0.6MG/KG/DAY,,Not yet recruiting,Corpometria Institute,"January 25, 2021",Interventional,High-Dose Ivermectin for Mild-to-Moderate COVID-19 - The (HD)IVACOV Trial,COVID
4786,COLORECTAL NEOPLASMS MALIGNANT,"February 08, 2021",2000,NCT04712292,SURGICAL PROCEDURE FOR CANCER,ITALY,Recruiting,Matteo Rottoli,"September 8, 2020",Observational,"Impact of the Healthcare Lockdown Due to COVID-19 Pandemic on the Diagnosis, Treatment and Outcomes of Patients Affected by Colorectal Cancer Requiring Surgery: Results From a Retrospective Multicentric Study in Northern Italy",Unrelated
4787,SEVERE COVID,"February 08, 2021",58,NCT04712344,COVID-19 CONVALESCENT PLASMA,GERMANY,Recruiting,University of Erlangen-Nürnberg Medical School,"January 18, 2021",Interventional,Randomized Controlled Phase 2b Clinical Study in Parallel Groups for the Assessment of Efficacy and Safety of Therapy With COVID-19 Convalescent Plasma Plus Standard Treatment vs. Standard Treatment Alone of Subjects With Severe COVID-19,COVID
4788,COVID,"February 08, 2021",219,NCT04712357,VITAMIN C 500 MG ORAL TABLET,BRAZIL,Recruiting,Universidade Federal do Ceara,"November 9, 2020",Interventional,"Clinical, Control, Double-blind, Randomized Experimentation With Tenofovir Disoproxyl Fumarate and Emtricitabine for COVID-19",COVID
4789,HEALTHY,"February 08, 2021",3500,NCT04712448,ANTI-COVID TEST,ITALY,"Active, not recruiting",IRCCS San Raffaele,"December 30, 2020",Observational,Serum Prevalence of Antibodies Anti-SARS-2Cov in Healthy Subjects and in Patients With Chronic Diseases in Pre-pandemic Blood Samples,Unrelated
4790,COVID,"February 08, 2021",383,NCT04713111,LIFESTYLE (MEDITATION),UNITED STATES,Completed,4YouandMe,"May 4, 2020",Interventional,Stress and Recovery in Frontline Healthcare COVID-19 Workers: A Feasibility Study Using Wearable and Smartphone Devices,COVID
